IMDB ID,BOX OFFICE
tt0113199,3992809.0
tt0113234,57100.0
tt0109906,3313633.0
tt0110057,7830611.0
tt0110066,26325256.0
tt0110116,14351546.0
tt0110006,17689177.0
tt0113360,6607652.0
tt0110099,26372663.0
tt0110148,105264608.0
tt0113463,2474000.0
tt0110189,7557877.0
tt0110216,36763355.0
tt0113501,36853222.0
tt0113538,13406717.0
tt0113552,14942422.0
tt0110367,50003300.0
tt0113670,10019307.0
tt0110322,66528842.0
tt0110443,29412050.0
tt0110365,1095885.0
tt0107566,3269420.0
tt0110391,18250211.0
tt0113691,7603766.0
tt0109836,22024639.0
tt0113755,40070995.0
tt0110538,6798240.0
tt0110516,18137661.0
tt0110527,17193886.0
tt0113808,5221281.0
tt0113896,11079373.0
tt0113870,17382000.0
tt0110684,39487686.0
tt0110638,33592700.0
tt0113967,
tt0113948,
tt0110671,189509.0
tt0110632,50282766.0
tt0110737,20042048.0
tt0114151,
tt0114069,67823573.0
tt0114113,2832826.0
tt0114210,468240.0
tt0110912,107930000.0
tt0114084,6834525.0
tt0110932,24822619.0
tt0114129,1238905.0
tt0114214,18636537.0
tt0114296,12100000.0
tt0110907,5860483.0
tt0114268,
tt0114571,911310.0
tt0111333,9771658.0
tt0111112,6101600.0
tt0111255,57362581.0
tt0111282,71565669.0
tt0111070,144833357.0
tt0111161,28341469.0
tt0108260,102780.0
tt0106966,2080805.0
tt0114594,376928.0
tt0113936,4686937.0
tt0114614,4064333.0
tt0114608,21088568.0
tt0111280,75668868.0
tt0114609,11797927.0
tt0111454,538534.0
tt0114852,9417567.0
tt0114694,32700000.0
tt0111590,1746050.0
tt0114788,536023.0
tt0114888,6014340.0
tt0108550,9170214.0
tt0114857,24048000.0
tt0114924,81057016.0
tt0111667,16551365.0
tt0112435,9685976.0
tt0109040,72217000.0
tt0104779,1862805.0
tt0109348,13383737.0
tt0109444,122012710.0
tt0109446,92115211.0
tt0109484,20160000.0
tt0109504,13640000.0
tt0109506,50693162.0
tt0109450,1007583.0
tt0109813,130512915.0
tt0109830,329691196.0
tt0113305,38290723.0
tt0110091,1777020.0
tt0110093,30806194.0
tt0110167,37800323.0
tt0110213,44342956.0
tt0110357,422783777.0
tt0111686,18090181.0
tt0110475,119938730.0
tt0110478,101631272.0
tt0110588,2144667.0
tt0110622,51109400.0
tt0110771,38824341.0
tt0110950,20982557.0
tt0105226,2502551.0
tt0110989,38087756.0
tt0111054,1607319.0
tt0110997,46815748.0
tt0111257,121248145.0
tt0111256,20664501.0
tt0111438,44450000.0
tt0111503,146282411.0
tt0111693,50021959.0
tt0111742,65012000.0
tt0111756,25052000.0
tt0112443,3700000.0
tt0111048,63649.0
tt0110399,29392418.0
tt0112570,
tt0110186,20851521.0
tt0111301,33423521.0
tt0112702,
tt0112849,
tt0113014,
tt0113043,
tt0113104,
tt0113173,
tt0113319,
tt0113827,
tt0114047,
tt0109339,42952.0
tt0109785,518663.0
tt0113409,8946600.0
tt0109021,19604000.0
